Date,CNGDPQOQ_Last Price,CNGDPQOQ_SMAVG (50),CNGDPQOQ_SMAVG (100),CNGDPQOQ_SMAVG (200),EHGDCN_Mid Price,EHGDCN_SMAVG (50),EHGDCN_SMAVG (100),EHGDCN_SMAVG (200)
2000-03-31,,,,,8.7,,,
2000-06-30,,,,,9.1,,,
2000-09-30,,,,,8.8,,,
2000-12-31,,,,,7.5,,,
2001-03-31,,,,,9.5,,,
2001-06-30,,,,,8.6,,,
2001-09-30,,,,,8.0,,,
2001-12-31,,,,,7.5,,,
2002-03-31,,,,,8.9,,,
2002-06-30,,,,,8.8,,,
2002-09-30,,,,,9.6,,,
2002-12-31,,,,,9.1,,,
2003-03-31,,,,,11.1,,,
2003-06-30,,,,,9.1,,,
2003-09-30,,,,,10.0,10.0,,
2003-12-31,,,,,10.0,10.12,,
2004-03-31,,,,,10.6,10.25,,
2004-06-30,,,,,11.6,10.3,,
2004-09-30,,,,,9.8,10.23,,
2004-12-31,,,,,8.8,10.12,,
2005-03-31,,,,,11.1,10.05,,
2005-06-30,,,,,11.1,9.98,,
2005-09-30,,,,,9.4,9.86,,
2005-12-31,,,,,12.4,9.84,,
2006-03-31,,,,,12.5,9.83,,
2006-06-30,,,,,13.7,9.82,,
2006-09-30,,,,,12.2,9.79,,
2006-12-31,,,,,12.5,9.77,,
2007-03-31,,,,,13.8,9.78,,
2007-06-30,,,,,15.0,9.84,,
2007-09-30,,,,,14.3,9.89,,
2007-12-31,,,,,13.9,9.95,,
2008-03-31,,,,,11.5,9.97,,
2008-06-30,,,,,10.9,9.97,,
2008-09-30,,,,,9.5,9.95,,
2008-12-31,,,,,7.1,9.9,,
2009-03-31,,,,,6.4,9.84,,
2009-06-30,,,,,8.2,9.8,,
2009-09-30,,,,,10.6,9.81,,
2009-12-31,,,,,11.9,9.85,,
2010-03-31,,,,,12.2,9.92,,
2010-06-30,,,,,10.8,9.97,,
2010-09-30,,,,,9.9,10.02,,
2010-12-31,,,,,9.9,10.08,,
2011-03-31,2.4,,,,10.2,10.13,,
2011-06-30,2.4,,,,10.0,10.14,,
2011-09-30,1.9,,,,9.4,10.15,,
2011-12-31,1.5,,,,8.8,10.17,,
2012-03-31,1.9,,,,8.1,10.18,,
2012-06-30,2.1,,,,7.7,10.2,,
2012-09-30,1.8,,,,7.5,10.18,,
2012-12-31,2.0,,,,8.1,10.16,,
2013-03-31,1.9,,,,7.9,10.14,,
2013-06-30,1.8,,,,7.6,10.14,,
2013-09-30,2.1,,,,7.9,10.11,,
2013-12-31,1.6,,,,7.7,10.09,,
2014-03-31,1.8,,,,7.5,10.08,,
2014-06-30,1.8,,,,7.6,10.08,,
2014-09-30,1.8,,,,7.2,10.05,,
2014-12-31,1.7,,,,7.3,10.02,,
2015-03-31,1.9,,,,7.1,9.97,,
2015-06-30,1.8,,,,7.1,9.93,,
2015-09-30,1.7,,,,7.0,9.85,,
2015-12-31,1.6,,,,6.9,9.8,,
2016-03-31,1.4,,,,6.9,9.74,9.87,
2016-06-30,1.9,,,,6.8,9.68,9.9,
2016-09-30,1.7,,,,6.8,9.6,9.93,
2016-12-31,1.6,,,,6.9,9.51,9.9,
2017-03-31,1.77,,,,7.0,9.45,9.84,
2017-06-30,1.74,,,,7.0,9.42,9.77,
2017-09-30,1.59,,,,6.9,9.33,9.69,
2017-12-31,1.57,,,,6.8,9.25,9.61,
2018-03-31,1.8,,,,6.9,9.2,9.53,
2018-06-30,1.7,,,,6.9,9.09,9.46,
2018-09-30,1.4,,,,6.7,8.97,9.4,
2018-12-31,1.3,,,,6.5,8.83,9.32,
2019-03-31,1.6,,,,6.3,8.71,9.25,
2019-06-30,1.4,,,,6.0,8.58,9.17,
2019-09-30,1.4,,,,5.9,8.42,9.1,
2019-12-31,1.3,,,,5.8,8.24,9.04,
2020-03-31,-10.4,,,,-6.9,7.81,8.85,
2020-06-30,11.4,,,,3.1,7.6,8.77,
2020-09-30,3.4,,,,4.8,7.46,8.72,
2020-12-31,2.7,,,,6.4,7.37,8.67,
2021-03-31,0.5,,,,18.7,7.56,8.75,
2021-06-30,1.4,,,,8.3,7.58,8.74,
2021-09-30,0.6,,,,5.2,7.56,8.7,
2021-12-31,1.8,,,,4.3,7.48,8.64,
2022-03-31,0.4,,,,4.8,7.36,8.59,
2022-06-30,-2.1,,,,0.4,7.13,8.49,
2022-09-30,4.0,,,,3.9,6.97,8.44,
2022-12-31,0.8,,,,2.9,6.81,8.39,
2023-03-31,1.8,,,,4.5,6.7,8.36,
2023-06-30,0.7,1.59,,,6.3,6.63,8.35,
2023-09-30,1.5,1.58,,,4.9,6.52,8.32,
2023-12-31,1.3,1.55,,,5.2,6.43,8.28,
2024-03-31,1.5,1.55,,,5.3,6.34,8.25,
2024-06-30,0.5,1.53,,,4.7,6.26,8.22,
2024-09-30,0.9,1.51,,,4.6,6.19,8.19,
